mle_id,eval_month_seq,hire_date,eval_date,last_commit_timestamp,department_team,education_level,prior_experience_years,raw_salary_krw,primary_framework,skills_list,mentor_id,candidate_source,code_commits_cnt,prs_merged_cnt,activity_json,probation_status,eval_performance_score,eval_competency_score,eval_attitude_score
MLE-2023-0007,2,2023-12-08,2024-02-06,2024-02-04 00:00:00+09:00,Core Data Science,PhD,10.6,"₩152,255,685",None,Kubeflow;FastAPI;Docker,MNT-107,Agency,76,23,"{""github_stars"": 218, ""paper_citations"": 71, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": true}",In_Probation,82.93,79.71,96.63
MLE-2023-0007,3,2023-12-08,2024-03-07,2024-03-05 13:00:00+09:00,Core Data Science,PhD,10.6,"₩152,255,685",None,Kubeflow;FastAPI;Docker,MNT-107,Agency,29,19,"{""github_stars"": 298, ""paper_citations"": 70, ""certifications"": [""CKAD""], ""weekly_1on1_attended"": false}",Passed,85.95,78.11,96.57
MLE-2023-0008,1,2024-04-05,2024-05-05,2024-05-03 00:00:00+09:00,Computer Vision,Master,4.6,"₩102,212,972",TensorFlow,PyTorch;FastAPI;Ray;TensorFlow,,Agency,46,12,"{""github_stars"": 81, ""paper_citations"": 13, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": true}",In_Probation,93.71,71.85,87.25
MLE-2023-0008,2,2024-04-05,2024-06-04,2024-06-02 18:00:00+09:00,Computer Vision,Master,4.6,"₩102,212,972",TensorFlow,PyTorch;FastAPI;Ray;TensorFlow,,Agency,64,15,"{""github_stars"": 116, ""paper_citations"": 28, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": true}",In_Probation,91.61,75.3,78.28
MLE-2023-0008,3,2024-04-05,2024-07-04,2024-07-03 06:00:00+09:00,Computer Vision,Master,4.6,"₩102,212,972",TensorFlow,PyTorch;FastAPI;Ray;TensorFlow,,Agency,69,24,"{""github_stars"": 204, ""paper_citations"": 68, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": true}",Passed,91.28,83.83,79.59
MLE-2024-0009,1,2023-01-20,2023-02-19,2023-02-18 02:00:00+09:00,Search & RecSys,,4.1,"₩94,262,506",None,Kubeflow;Python;Ray,,Direct Apply,55,7,"{""github_stars"": 153, ""paper_citations"": 64, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",In_Probation,72.52,61.48,83.9
MLE-2024-0009,2,2023-01-20,2023-03-21,2023-03-20 11:00:00+09:00,Search & RecSys,,4.1,"₩94,262,506",None,Kubeflow;Python;Ray,,Direct Apply,73,18,"{""github_stars"": 346, ""paper_citations"": 22, ""certifications"": [], ""weekly_1on1_attended"": false}",In_Probation,75.82,65.57,80.89
MLE-2024-0009,3,2023-01-20,2023-04-20,2023-04-19 10:00:00+09:00,Search & RecSys,,4.1,"₩94,262,506",None,Kubeflow;Python;Ray,,Direct Apply,80,26,"{""github_stars"": 310, ""paper_citations"": 41, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",Extended,78.68,63.61,82.93
MLE-2023-0010,1,2023-12-04,2024-01-03,2024-01-01 07:00:00+09:00,Search & RecSys,PhD,4.4,"₩101,487,638",JAX,Docker;PyTorch;Python;JAX,,Campus Recruitment,88,10,"{""github_stars"": 196, ""paper_citations"": 63, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": true}",In_Probation,80.11,89.64,80.65
MLE-2023-0010,2,2023-12-04,2024-02-02,2024-02-01 17:00:00+09:00,Search & RecSys,PhD,4.4,"₩101,487,638",JAX,Docker;PyTorch;Python;JAX,,Campus Recruitment,74,13,"{""github_stars"": 90, ""paper_citations"": 66, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": true}",In_Probation,86.71,94.48,71.4
MLE-2023-0010,3,2023-12-04,2024-03-03,2024-03-02 15:00:00+09:00,Search & RecSys,PhD,4.4,"₩101,487,638",JAX,Docker;PyTorch;Python;JAX,,Campus Recruitment,84,24,"{""github_stars"": 286, ""paper_citations"": 76, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",Passed,89.76,95.89,76.0
MLE-2024-0011,1,2024-04-04,2024-05-04,2024-05-02 02:00:00+09:00,LLM & Generative AI,UNKNOWN,10.2,"₩144,730,188",TensorFlow,Git;SQL;Kubeflow;CUDA;TensorFlow,MNT-111,Referral,42,6,"{""github_stars"": 212, ""paper_citations"": 52, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",In_Probation,69.94,70.11,83.33
MLE-2024-0011,2,2024-04-04,2024-06-03,2024-06-01 10:00:00+09:00,LLM & Generative AI,UNKNOWN,10.2,"₩144,730,188",TensorFlow,Git;SQL;Kubeflow;CUDA;TensorFlow,MNT-111,Referral,22,24,"{""github_stars"": 194, ""paper_citations"": 61, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": false}",In_Probation,71.27,74.57,88.99
MLE-2024-0011,3,2024-04-04,2024-07-03,2024-07-01 21:00:00+09:00,LLM & Generative AI,UNKNOWN,10.2,"₩144,730,188",TensorFlow,Git;SQL;Kubeflow;CUDA;TensorFlow,MNT-111,Referral,93,25,"{""github_stars"": 308, ""paper_citations"": 28, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": true}",Extended,73.51,78.34,82.95
MLE-2024-0012,1,2024-01-06,2024-02-05,2024-02-04 02:00:00+09:00,LLM & Generative AI,UNKNOWN,6.6,"₩118,923,290",PyTorch,Ray;PyTorch,MNT-106,Referral,63,12,"{""github_stars"": 215, ""paper_citations"": 32, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": false}",In_Probation,67.6,73.01,81.91
MLE-2024-0012,2,2024-01-06,2024-03-06,2024-03-05 01:00:00+09:00,LLM & Generative AI,UNKNOWN,6.6,"₩118,923,290",PyTorch,Ray;PyTorch,MNT-106,Referral,48,8,"{""github_stars"": 333, ""paper_citations"": 5, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": true}",In_Probation,71.9,71.86,71.74
MLE-2024-0012,3,2024-01-06,2024-04-05,2024-04-04 15:00:00+09:00,LLM & Generative AI,UNKNOWN,6.6,"₩118,923,290",PyTorch,Ray;PyTorch,MNT-106,Referral,85,11,"{""github_stars"": 288, ""paper_citations"": 27, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",Extended,80.07,76.04,77.2
MLE-2023-0013,1,2024-02-03,2024-03-04,2024-03-02 13:00:00+09:00,LLM & Generative AI,PhD,,"₩77,296,605",Scikit-Learn,SQL;Docker;FastAPI;Scikit-Learn,MNT-110,Referral,69,15,"{""github_stars"": 35, ""paper_citations"": 64, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": true}",In_Probation,92.06,80.22,56.7
MLE-2023-0013,2,2024-02-03,2024-04-03,2024-04-02 00:00:00+09:00,LLM & Generative AI,PhD,,"₩77,296,605",Scikit-Learn,SQL;Docker;FastAPI;Scikit-Learn,MNT-110,Referral,78,10,"{""github_stars"": 222, ""paper_citations"": 22, ""certifications"": [], ""weekly_1on1_attended"": false}",In_Probation,92.22,83.99,64.73
MLE-2023-0013,3,2024-02-03,2024-05-03,2024-05-01 18:00:00+09:00,LLM & Generative AI,PhD,,"₩77,296,605",Scikit-Learn,SQL;Docker;FastAPI;Scikit-Learn,MNT-110,Referral,80,26,"{""github_stars"": 137, ""paper_citations"": 41, ""certifications"": [""CKAD""], ""weekly_1on1_attended"": true}",Extended,91.35,83.24,64.44
MLE-2024-0014,1,2023-06-22,2023-07-22,2023-07-20 02:00:00+09:00,Search & RecSys,UNKNOWN,2.9,"₩92,969,318",None,CUDA;Python;Docker;FastAPI,MNT-114,Campus Recruitment,77,18,"{""github_stars"": 8, ""paper_citations"": 11, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": true}",In_Probation,79.41,63.46,78.63
MLE-2024-0014,2,2023-06-22,2023-08-21,2023-08-20 00:00:00+09:00,Search & RecSys,UNKNOWN,2.9,"₩92,969,318",None,CUDA;Python;Docker;FastAPI,MNT-114,Campus Recruitment,80,23,"{""github_stars"": 271, ""paper_citations"": 44, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",In_Probation,81.38,68.14,74.34
MLE-2024-0014,3,2023-06-22,2023-09-20,2023-09-19 09:00:00+09:00,Search & RecSys,UNKNOWN,2.9,"₩92,969,318",None,CUDA;Python;Docker;FastAPI,MNT-114,Campus Recruitment,40,14,"{""github_stars"": 161, ""paper_citations"": 15, ""certifications"": [], ""weekly_1on1_attended"": true}",Extended,82.28,73.42,73.98
MLE-2024-0015,1,2023-02-21,2023-03-23,2023-03-22 20:00:00+09:00,LLM & Generative AI,PhD,0.7,"₩61,514,794",None,PyTorch;Git;SQL;Ray,,Agency,47,19,"{""github_stars"": 58, ""paper_citations"": 8, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",In_Probation,71.17,72.35,61.1
MLE-2024-0015,2,2023-02-21,2023-04-22,2023-04-21 14:00:00+09:00,LLM & Generative AI,PhD,0.7,"₩61,514,794",None,PyTorch;Git;SQL;Ray,,Agency,92,15,"{""github_stars"": 43, ""paper_citations"": 31, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": false}",In_Probation,78.99,76.64,63.16
MLE-2024-0015,3,2023-02-21,2023-05-22,2023-05-20 14:00:00+09:00,LLM & Generative AI,PhD,0.7,"₩61,514,794",None,PyTorch;Git;SQL;Ray,,Agency,73,22,"{""github_stars"": 226, ""paper_citations"": 38, ""certifications"": [], ""weekly_1on1_attended"": false}",Extended,78.48,78.29,67.77
MLE-2023-0016,1,2024-04-30,2024-05-30,2024-05-28 07:00:00+09:00,LLM & Generative AI,Master,3.3,"₩88,253,787",Scikit-Learn,Kubeflow;Python;Docker;PyTorch;Spark;Scikit-Learn,MNT-128,Campus Recruitment,90,10,"{""github_stars"": 217, ""paper_citations"": 14, ""certifications"": [], ""weekly_1on1_attended"": true}",In_Probation,64.25,68.9,73.18
MLE-2023-0016,2,2024-04-30,2024-06-29,2024-06-28 19:00:00+09:00,LLM & Generative AI,Master,3.3,"₩88,253,787",Scikit-Learn,Kubeflow;Python;Docker;PyTorch;Spark;Scikit-Learn,MNT-128,Campus Recruitment,27,11,"{""github_stars"": 157, ""paper_citations"": 76, ""certifications"": [], ""weekly_1on1_attended"": false}",In_Probation,64.67,68.39,66.91
MLE-2023-0016,3,2024-04-30,2024-07-29,2024-07-27 22:00:00+09:00,LLM & Generative AI,Master,3.3,"₩88,253,787",Scikit-Learn,Kubeflow;Python;Docker;PyTorch;Spark;Scikit-Learn,MNT-128,Campus Recruitment,59,24,"{""github_stars"": 276, ""paper_citations"": 63, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": true}",Extended,68.75,74.75,72.07
MLE-2024-0017,1,2023-01-14,2023-02-13,2023-02-11 16:00:00+09:00,Search & RecSys,Master,7.1,"₩123,079,013",JAX,PyTorch;Git;JAX,MNT-115,Agency,26,19,"{""github_stars"": 178, ""paper_citations"": 52, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",In_Probation,71.6,86.38,80.18
MLE-2024-0017,2,2023-01-14,2023-03-15,2023-03-13 03:00:00+09:00,Search & RecSys,Master,7.1,"₩123,079,013",JAX,PyTorch;Git;JAX,MNT-115,Agency,83,15,"{""github_stars"": 339, ""paper_citations"": 51, ""certifications"": [], ""weekly_1on1_attended"": true}",In_Probation,71.94,85.03,80.1
MLE-2024-0017,3,2023-01-14,2023-04-14,2023-04-12 22:00:00+09:00,Search & RecSys,Master,7.1,"₩123,079,013",JAX,PyTorch;Git;JAX,MNT-115,Agency,90,8,"{""github_stars"": 336, ""paper_citations"": 69, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",Passed,70.44,89.66,83.69
MLE-2024-0018,1,2023-11-17,2023-12-17,2023-12-16 16:00:00+09:00,MLOps & Platform,Bachelor,11.2,"₩146,637,191",PyTorch,PyTorch;Kubeflow;Python,MNT-103,Direct Apply,34,19,"{""github_stars"": 149, ""paper_citations"": 65, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",In_Probation,100.0,100.0,73.08
MLE-2024-0018,2,2023-11-17,2024-01-16,2024-01-14 12:00:00+09:00,MLOps & Platform,Bachelor,11.2,"₩146,637,191",PyTorch,PyTorch;Kubeflow;Python,MNT-103,Direct Apply,38,18,"{""github_stars"": 97, ""paper_citations"": 76, ""certifications"": [], ""weekly_1on1_attended"": true}",In_Probation,100.0,100.0,79.63
MLE-2024-0018,3,2023-11-17,2024-02-15,2024-02-13 21:00:00+09:00,MLOps & Platform,Bachelor,11.2,"₩146,637,191",PyTorch,PyTorch;Kubeflow;Python,MNT-103,Direct Apply,68,24,"{""github_stars"": 136, ""paper_citations"": 0, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",Passed,100.0,100.0,78.07
MLE-2023-0019,1,2023-08-17,2023-09-16,2023-09-15 14:00:00+09:00,Core Data Science,UNKNOWN,6.7,"₩111,765,061",TensorFlow,Docker;Ray;Python;PyTorch;Spark;TensorFlow,MNT-130,Campus Recruitment,78,5,"{""github_stars"": 64, ""paper_citations"": 64, ""certifications"": [], ""weekly_1on1_attended"": false}",In_Probation,80.84,89.24,88.01
MLE-2023-0019,2,2023-08-17,2023-10-16,2023-10-14 14:00:00+09:00,Core Data Science,UNKNOWN,6.7,"₩111,765,061",TensorFlow,Docker;Ray;Python;PyTorch;Spark;TensorFlow,MNT-130,Campus Recruitment,78,6,"{""github_stars"": 73, ""paper_citations"": 52, ""certifications"": [""CKAD""], ""weekly_1on1_attended"": true}",In_Probation,79.34,93.0,86.79
MLE-2023-0019,3,2023-08-17,2023-11-15,2023-11-13 03:00:00+09:00,Core Data Science,UNKNOWN,6.7,"₩111,765,061",TensorFlow,Docker;Ray;Python;PyTorch;Spark;TensorFlow,MNT-130,Campus Recruitment,75,10,"{""github_stars"": 168, ""paper_citations"": 68, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",Passed,83.41,95.35,88.58
MLE-2023-0020,1,2023-11-13,2023-12-13,2023-12-11 11:00:00+09:00,Search & RecSys,Master,12.0,"₩152,651,601",PyTorch,PyTorch;Kubeflow;Python;Git;FastAPI,MNT-110,Agency,38,9,"{""github_stars"": 89, ""paper_citations"": 10, ""certifications"": [], ""weekly_1on1_attended"": false}",In_Probation,82.17,68.75,83.54
MLE-2023-0020,2,2023-11-13,2024-01-12,2024-01-11 14:00:00+09:00,Search & RecSys,Master,12.0,"₩152,651,601",PyTorch,PyTorch;Kubeflow;Python;Git;FastAPI,MNT-110,Agency,49,20,"{""github_stars"": 326, ""paper_citations"": 32, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",In_Probation,85.14,77.01,78.17
MLE-2023-0020,3,2023-11-13,2024-02-11,2024-02-10 05:00:00+09:00,Search & RecSys,Master,12.0,"₩152,651,601",PyTorch,PyTorch;Kubeflow;Python;Git;FastAPI,MNT-110,Agency,94,13,"{""github_stars"": 37, ""paper_citations"": 56, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",Extended,87.36,76.22,75.59
MLE-2024-0021,1,2023-04-12,2023-05-12,2023-05-10 08:00:00+09:00,MLOps & Platform,UNKNOWN,4.6,"₩92,168,085",Scikit-Learn,Python;FastAPI;Git;Ray;Scikit-Learn,MNT-110,Direct Apply,47,8,"{""github_stars"": 321, ""paper_citations"": 12, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": false}",In_Probation,86.53,67.96,80.66
MLE-2024-0021,2,2023-04-12,2023-06-11,2023-06-10 15:00:00+09:00,MLOps & Platform,UNKNOWN,4.6,"₩92,168,085",Scikit-Learn,Python;FastAPI;Git;Ray;Scikit-Learn,MNT-110,Direct Apply,31,15,"{""github_stars"": 167, ""paper_citations"": 53, ""certifications"": [""CKAD""], ""weekly_1on1_attended"": true}",In_Probation,82.46,75.01,87.94
MLE-2024-0021,3,2023-04-12,2023-07-11,2023-07-09 14:00:00+09:00,MLOps & Platform,UNKNOWN,4.6,"₩92,168,085",Scikit-Learn,Python;FastAPI;Git;Ray;Scikit-Learn,MNT-110,Direct Apply,89,16,"{""github_stars"": 84, ""paper_citations"": 32, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",Passed,91.11,76.4,77.66
MLE-2023-0022,1,2023-03-14,2023-04-13,2023-04-12 17:00:00+09:00,LLM & Generative AI,UNKNOWN,4.7,,None,Git;Spark,MNT-122,Agency,44,19,"{""github_stars"": 12, ""paper_citations"": 79, ""certifications"": [], ""weekly_1on1_attended"": false}",In_Probation,87.04,88.37,87.67
MLE-2023-0022,2,2023-03-14,2023-05-13,2023-05-11 18:00:00+09:00,LLM & Generative AI,UNKNOWN,4.7,,None,Git;Spark,MNT-122,Agency,58,19,"{""github_stars"": 59, ""paper_citations"": 17, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": true}",In_Probation,83.43,93.54,88.08
MLE-2023-0022,3,2023-03-14,2023-06-12,2023-06-10 13:00:00+09:00,LLM & Generative AI,UNKNOWN,4.7,,None,Git;Spark,MNT-122,Agency,42,20,"{""github_stars"": 232, ""paper_citations"": 47, ""certifications"": [], ""weekly_1on1_attended"": false}",Passed,88.76,98.41,97.54
MLE-2023-0023,1,2024-03-02,2024-04-01,2024-03-30 18:00:00+09:00,MLOps & Platform,,0.9,"₩66,161,312",JAX,Spark;CUDA;JAX,MNT-121,Agency,26,10,"{""github_stars"": 328, ""paper_citations"": 76, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": true}",In_Probation,63.33,62.88,89.4
MLE-2023-0023,2,2024-03-02,2024-05-01,2024-04-29 11:00:00+09:00,MLOps & Platform,,0.9,"₩66,161,312",JAX,Spark;CUDA;JAX,MNT-121,Agency,46,8,"{""github_stars"": 283, ""paper_citations"": 26, ""certifications"": [], ""weekly_1on1_attended"": true}",In_Probation,66.09,65.8,97.18
MLE-2023-0023,3,2024-03-02,2024-05-31,2024-05-29 09:00:00+09:00,MLOps & Platform,,0.9,"₩66,161,312",JAX,Spark;CUDA;JAX,MNT-121,Agency,25,16,"{""github_stars"": 74, ""paper_citations"": 16, ""certifications"": [], ""weekly_1on1_attended"": false}",Extended,68.45,67.81,98.28
MLE-2023-0024,1,2023-01-08,2023-02-07,2023-02-05 01:00:00+09:00,Computer Vision,Master,,"₩78,062,546",None,SQL;Git,MNT-112,Referral,81,13,"{""github_stars"": 234, ""paper_citations"": 3, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": false}",In_Probation,79.3,63.27,76.82
MLE-2023-0024,2,2023-01-08,2023-03-09,2023-03-07 02:00:00+09:00,Computer Vision,Master,,"₩78,062,546",None,SQL;Git,MNT-112,Referral,76,8,"{""github_stars"": 41, ""paper_citations"": 41, ""certifications"": [], ""weekly_1on1_attended"": true}",In_Probation,73.98,65.06,83.13
MLE-2023-0024,3,2023-01-08,2023-04-08,2023-04-06 12:00:00+09:00,Computer Vision,Master,,"₩78,062,546",None,SQL;Git,MNT-112,Referral,66,20,"{""github_stars"": 305, ""paper_citations"": 67, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",Extended,80.88,69.3,85.05
MLE-2023-0025,1,2024-03-12,2024-04-11,2024-04-10 17:00:00+09:00,Core Data Science,Master,5.3,"₩109,640,866",PyTorch,Ray;Spark;Kubeflow;PyTorch,MNT-122,Campus Recruitment,62,8,"{""github_stars"": 284, ""paper_citations"": 7, ""certifications"": [], ""weekly_1on1_attended"": false}",In_Probation,65.92,90.86,67.75
